label,message,message_stemmed,label_name
4,біздің сарбаздарымыз өз істерінің әділдігімен қаруланып басқыншы армия арасында көптеген шығындарға ұшырады және өз жерлері мен халқын қорғау үшін күресетін болады propaganda,біздің сарбаз өз іс әділдіг қарулан басқынш армия ара көптеген шығын ұшыр және өз жер мен халқ қорғау үшін күрес бол propaganda,violent
4,біздің еркін болғанымызды ештеңе жеңе алмайды тағы бір рет вашингтон мен еуропа түрмешіге басқыншыға және агрессорға көмек көрсетіп оның құрбандарын айыптауды таңдады propaganda,біздің еркін бол ештеңе же алма тағы бір рет вашингтон мен еуропа түрмеші басқыншы және агрессо көмек көрсет оның құрбан айыптау таңда propaganda,violent
4,біз барак обама джордж буштың қасіретті мұрасынан басталады деп үміттенген едік бірақ оның бастамасы көңіл көншітпейді ол тез арада мумбайдағы шабуылдарды жоққа шығаруға көшкен кезде газада күндік қырғыннан кейін ол тілмен байланыста қалады бірақ менің халқым жалғыз емес бостандықты сүйетін миллиондаған ерлер мен әйелдер оның әділеттілік пен азаттық үшін күресуінде тұр propaganda,біз барак оба джордж буш қасірет мұра бастал де үміттен едік бірақ оның баста көңіл көншітпе ол тез ара мумбай шабуыл жоқ шығар көш кезде газа күндік қырғын кейін ол тіл байланыс қал бірақ менің хал жалғыз емес бостандық сүй миллиондаған ер мен әйел оның әділеттілік пен аза үшін күресу тұр propaganda,violent
4,израильдің агрессиясына қарсы күн сайынғы наразылықтар араб және ислам аймағында ғана емес бүкіл әлемде болып жатыр propaganda,израиль агрессия қарсы күн сайынғы наразылық араб және ислам аймағ ғана емес бүкіл әлем бол жатыр propaganda,violent
4,израиль сөзсіз газаның жойылуын өлімі мен қайғы қасіретті жеңетіні сөзсіз бірақ ол ливандағыдай газадағы тағдырмен кездеседі бізді қоршау және бомбалау арқылы сындырмайды және ешқашан басқыншылыққа берілмейміз халид миш ал хамас саяси бюросының басшысы propaganda,израиль сөзсіз газа жойыл өлім мен қайғы қасірет жең сөзсіз бірақ ол ливандағыда газа тағдыр кездес біз қоршау және бомбала арқылы сындырма және ешқашан басқыншылық берілме халид миш ал хамас саяси бюро басшы propaganda,violent
4,алькаиданың аға қайраткері әбу йехя әл либи әлемдегі мүжахедтер газада палестиналықтардың қырылуына жауаптылардан кек алуға дайын деп мәлімдеді propaganda,алькаида аға қайраткер әбу йехя әл либи әлем мүжахед газа палестиналық қырыл жауапты кек ал дайын де мәлімде propaganda,violent
4,бұл алькаиданың сахаб деп жариялаған жаңа бейне таспасында сәрсенбі күні содырлардың исламшыл сайттарында шығыс пен батыстағы мужахидтер еврейлердің қолымен газадағы мұсылмандарға не болып жатқанын және болып жатқан оқиғаларды өшіруге және кек алуға дайындалып жатыр radicalization,бұл алькаида сахаб де жарияла жаңа бейне таспа сәрсенбі күн содыр исламшыл сайт шығыс пен батыс мужахид еврей қол газа мұсылман не бол жат және бол жат оқиға өшір және кек ал дайындал жатыр radicalization,violent
4,өткен жылдың қаңтар айында жүзден астам мұсылман ғалымдарының газа соғысы туралы мәлімдемесіне жауап ретінде қабылданды онда мұсылмандарды газадағы жиһадты қолдауға шақырған және израиль үкіметімен қызметтес болған жолдан тайғандар деп атаған аль либи ғалымдарды ауғанстан ирак сомали және шығыс түркістан сияқты басқа мұсылман жерінде жиһадты заңдастыратын діни қаулылар шығаруға шақырды recruitment,өткен жыл қаңтар ай жүз астам мұсылман ғалым газ соғыс туралы мәлімдеме жауап рет қабылда онда мұсылман газа жиһад қолда шақыр және израиль үкімет қызметтес бол жолдан тай де ата аль либи ғалым ауғанстан ирак сомали және шығыс түркістан сияқты басқа мұсылман же жиһад заңдастыр діни қаулы шығар шақ recruitment,violent
4,аль либи ғалымдардан мұсылман халқына америка құрама штаттары мен израильдің бір құрылым құрғанын және израиль армиясына қарсы соғысу мен ақш мүдделеріне қай жерде болмасын шабуыл жасау арасында ешқандай айырмашылық жоқ екенін түсіндіруді сұрады неліктен ақш израиль сияқты қолдау үшін ақы төлеуден босатылуы керек неліктен біз оны өз жерімізде және әскери саяси экономикалық және қаржылық нысандарды бомбалау арқылы нысанаға алмауымыз керек propaganda,аль либи ғалым мұсылман халқ америка құрама штат мен израиль бір құрылым құр және израиль армия қарсы соғыс мен ақш мүдде қай же болма шабуыл жасау ара ешқандай айырмашылық жоқ екен түсіндіру сұр неліктен ақш израиль сияқты қолдау үшін ақы төлеу босатыл керек неліктен біз оны өз же және әскери саяси экономикалық және қаржылық нысан бомбала арқылы нысана алма керек propaganda,violent
4,бұл олар шақырған әділдер үшін жеңіс алькаиданың жетекшісі усама бен ладеннің өзі ислам әлеміндегі адал ғалымдар комитеттеріне үндеу жіберді ол газа туралы наурыздың ортасында шығарды ол олардан мұсылман елдеріндегі жастар арасында шынайы ислам деп атаған және аймақтың болашағы туралы хабардар болу үшін кеңесші орган құруды сұрады recruitment,бұл олар шақыр әділ үшін жеңіс алькаида жетекші уса бен ладен өзі ислам әлем адал ғалым комитет үндеу жіб ол газ туралы наурыз орта шығ ол олардан мұсылман ел жас ара шынайы ислам де ата және аймақ болашағ туралы хабардар болу үшін кеңесші орган құру сұр recruitment,violent
4,ал либи былтыр ақпанда сомалилерді жаңадан сайланған президентке қарсы бүлік шығаруға шақырған видео мәлімдемесін жариялаған болатын оның бүгін шығарған видеосы минуттан астам уақытты қамтиды ол қоңыр фонда қарсы отырды дәстүрлі көйлегінің үстіне әскери куртка және басына ақ шалбар киді дереккөз propaganda,ал либи былтыр ақпан сомали жаңа сайлан президент қарсы бүлік шығар шақыр видео мәлімдеме жарияла бол оның бүгін шығар видео минут астам уақыт қамти ол қоңыр фонд қарсы от дәстүрлі көйлег үст әскери куртка және бас ақ шалбар ки дереккөз propaganda,violent
4,қауіпсіздік қызметкерлері қағазға бұл бейнефильм германиядағы ықтимал террористерді ынталандыру үшін сигнал жіберуді мақсат еткенін айтты,қауіпсіздік қызметкер қағаз бұл бейнефиль германия ықтимал террорис ынталандыру үшін сигнал жіберу мақсат ет ай,violent
4,барлар мен дискотекалар сияқты көпшілік орындарды таңдау арқылы ең көп адам өлтіруге бағытталған нысаналарға американдық әскери әуе күштерінің рамштейндегі базасы және дортмунд дюссельдорф франкфурт кельн және мюнхен сияқты қалалар кірді propaganda,бар мен дискотека сияқты көпшілік орын таңдау арқылы ең көп адам өлтір бағыттал нысана американдық әскери әуе күш рамштей база және дортмунд дюссельдорф франкфурт кельн және мюнхен сияқты қала кір propaganda,violent
4,айыпталушылардың бірі мәлімдегендей әлем күйеді сот ісіндегі іс қағаздары шамамен папканы толтырады ал айыптаушының өзі куәгерді шақыруды жоспарлап отыр бұл іс екі жылға дейін созылуы мүмкін деген болжам бар propaganda,айыпталушы бірі мәлімдегенде әлем күй сот іс іс қағаз шамамен папка толтыр ал айыптауш өзі куәгер шақыру жоспарла отыр бұл іс екі жыл дейін созыл мүмкін де болжам бар propaganda,violent
4,комментаторлар бұл ең керемет сынақтардың бірі болады деп үміттенеді өйткені солшыл террористік қызыл армия фракциясының raf мүшелері жылдары докта тұрған германиялық dpa сым қызметі ер адамдар селек үшін жылдан бастап шнайдер үшін түрмеде өмір сүруге дейін түрмеге қамалатынын айтты propaganda,комментатор бұл ең керемет сынақ бірі бол де үміттен өйткені солшыл террористік қызыл армия фракция raf мүше жыл док тұр германиялық dpa сы қызмет ер адам селек үшін жыл баста шнайдер үшін түрме өмір сүр дейін түрме қамал ай propaganda,violent
4,қатардағы үш ер адам жылы ауғанстан пәкістан шекаралас аймағындағы оқу жаттығу жиындарына бара жатқанда бақыланған онда оларды өзбекстанда орналасқан ислам жиһад одағы террористік ұйымы деп жалдады деп болжанған propaganda,қатар үш ер адам жыл ауғанстан пәкістан шекаралас аймағ оқу жаттығу жиын бар жатқанда бақылан онда ол өзбекстан орналас ислам жиһад одағ террористік ұйым де жалда де болжан propaganda,violent
4,осы күндері израильдің газаға жасаған шабуылдары жүздеген адамдарды өлтіріп жарақаттады ал бүкіл әлем соның ішінде араб сатқындары мен билеушілері тек бос мәлімдеме жасайды және мен осыған байланысты бірнеше мәселеге назар аударғым келеді propaganda,осы күн израиль газа жаса шабуыл жүздеген адам өлтір жарақатта ал бүкіл әлем соның іш араб сатқын мен билеуші тек бос мәлімдеме жаса және мен осы байланысты бірнеше мәселе назар аудар кел propaganda,violent
4,ал исламның қалған бөлігінде біз шейх осама бен ладеннің антына қол жеткізуге дайынбыз мен ұлыбританиямен ант етемін көкті байқаусызда көтерді америка да америкада тұратын ешкім де палестина мен шындық алдында өмір сүрмес бұрын қауіпсіздік туралы армандай бермейді propaganda,ал ислам қалған бөліг біз шейх оса бен ладен ант қол жеткіз дайын мен ұлыбритания ант ет көк байқаусыз көтер америка да америка тұр ешкім де палестин мен шындық алд өмір сүрмес бұрын қауіпсіздік туралы арманда берме propaganda,violent
